"","DGUID","ALT_GEO_CODE","GEO_LEVEL","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","Language","C1_COUNT_TOTAL","C10_RATE_TOTAL","Languages"
"755","2021S051235300988",35300988,"Dissemination area",0,970,"Tie (Hover to See Languages)",15,2.5,"Romanian//Spanish"
"756","2021S051235300991",35300991,"Dissemination area",0,847,"Tie (Hover to See Languages)",10,1.3,"Vietnamese//Romanian//Spanish"
"757","2021S051235300992",35300992,"Dissemination area",0,865,"Tie (Hover to See Languages)",10,1,"Tagalog (Pilipino, Filipino)//Spanish"
"758","2021S051235301009",35301009,"Dissemination area",0,900,"Tie (Hover to See Languages)",15,3,"Serbo-Croatian//Serbian"
"759","2021S051235301023",35301023,"Dissemination area",0,917,"Tie (Hover to See Languages)",5,0.8,"German//Punjabi (Panjabi)"
"760","2021S051235301027",35301027,"Dissemination area",0,939,"Tie (Hover to See Languages)",15,3.3,"Gujarati//Punjabi (Panjabi)"
"761","2021S051235301035",35301035,"Dissemination area",0,953,"Tie (Hover to See Languages)",15,2.8,"Urdu//Portuguese"
"762","2021S051235301037",35301037,"Dissemination area",0,835,"Tie (Hover to See Languages)",25,1.5,"Arabic//Serbo-Croatian"
"763","2021S051235301046",35301046,"Dissemination area",0,900,"Tie (Hover to See Languages)",5,0.2,"Serbo-Croatian//Serbian//Romanian//Spanish"
"764","2021S051235301050",35301050,"Dissemination area",0,949,"Tie (Hover to See Languages)",20,2.9,"Punjabi (Panjabi)//Urdu"
"765","2021S051235301051",35301051,"Dissemination area",0,939,"Tie (Hover to See Languages)",20,2.5,"Gujarati//Portuguese"
"766","2021S051235301055",35301055,"Dissemination area",0,835,"Tie (Hover to See Languages)",30,2.2,"Arabic//Urdu"
